piRNA	log2FoldChange	padj
piR-dre-11734	-1.277558672	0.334517033
piR-dre-1010862	1.566325779	0.334768624
piR-dre-365252	1.602703148	0.335681598
piR-dre-56460	-1.304083657	0.335681598
piR-dre-74902	1.69672919	0.336896177
piR-dre-2358	-1.92604664	0.339224525
piR-dre-47284	1.185737236	0.339348643
piR-dre-5361	-0.94208412	0.339348643
piR-dre-51433	-1.411397867	0.339348643
piR-dre-385709	-1.108703291	0.339856192
piR-dre-12052	1.917667884	0.339856192
piR-dre-22177	1.034301819	0.340709153
piR-dre-3096	2.312914096	0.341213548
piR-dre-35444	1.323398943	0.343035156
piR-dre-31316	-1.853073759	0.344695469
piR-dre-39489	2.935597843	0.344695469
piR-dre-719809	2.3931105	0.344695469
piR-dre-65949	-1.096549162	0.344695469
piR-dre-23129	-2.921335548	0.344695469
piR-dre-40138	-1.366750366	0.345337447
piR-dre-19219	1.42582267	0.345596452
piR-dre-11905	-1.92138256	0.345661982
piR-dre-57555	1.034422607	0.346016408
piR-dre-58169	1.672385059	0.346048506
piR-dre-11369	-1.790841967	0.347172176
piR-dre-483720	1.753782174	0.347362084
piR-dre-18680	-1.404344175	0.347958443
piR-dre-24251	1.239733013	0.347958443
piR-dre-158492	1.356760933	0.347958443
piR-dre-8080	1.060413127	0.348250375
piR-dre-439499	-2.197157657	0.348339456
piR-dre-36790	1.287229261	0.349615106
piR-dre-36791	1.287229261	0.349615106
piR-dre-391604	1.365021873	0.349615106
